task,difficulty,problem_id,num_nodes,num_edges,density,avg_degree,max_degree,min_degree,is_connected,num_components,avg_clustering,diameter,degree_range
MIS,easy,0,4,4,0.26666666666666666,2.0,2,1,False,2,0.0,,1
MIS,easy,1,3,11,0.12087912087912088,7.333333333333333,6,0,False,3,0.0,,6
MIS,easy,2,5,5,0.23809523809523808,2.0,4,1,False,2,0.0,,3
MIS,easy,3,4,5,0.17857142857142858,2.5,3,0,False,3,0.0,,3
MIS,easy,4,9,14,0.2545454545454545,3.111111111111111,8,1,False,2,0.3495670995670996,,7
MIS,easy,5,9,10,0.18181818181818182,2.2222222222222223,8,1,False,2,0.18506493506493504,,7
MIS,easy,6,8,11,0.2,2.75,7,0,False,3,0.33116883116883117,,7
MIS,easy,7,4,4,0.19047619047619047,2.0,3,0,False,3,0.0,,3
MIS,easy,8,3,2,0.09523809523809523,1.3333333333333333,1,0,False,5,0.0,,1
MIS,easy,9,6,6,0.21428571428571427,2.0,5,1,False,2,0.0,,4
MIS,easy,10,4,4,0.26666666666666666,2.0,3,1,False,2,0.0,,2
MIS,easy,11,5,5,0.23809523809523808,2.0,4,1,False,2,0.0,,3
MIS,easy,12,7,8,0.17777777777777778,2.2857142857142856,4,0,False,3,0.0,,4
MIS,easy,13,7,10,0.2777777777777778,2.857142857142857,6,1,False,2,0.5407407407407407,,5
MIS,easy,14,6,6,0.21428571428571427,2.0,5,1,False,2,0.0,,4
MIS,easy,15,7,14,0.3888888888888889,4.0,6,1,False,2,0.537037037037037,,5
MIS,easy,16,5,5,0.23809523809523808,2.0,4,1,False,2,0.0,,3
MIS,easy,17,7,8,0.17777777777777778,2.2857142857142856,5,0,False,3,0.21000000000000002,,5
MIS,easy,18,7,8,0.2222222222222222,2.2857142857142856,5,1,False,2,0.15925925925925927,,4
MIS,easy,19,6,8,0.2857142857142857,2.6666666666666665,4,1,False,2,0.1875,,3
MIS,easy,20,6,7,0.25,2.3333333333333335,5,1,False,2,0.2625,,4
MIS,easy,21,10,12,0.18181818181818182,2.4,8,1,False,2,0.22817460317460317,,7
MIS,easy,22,4,4,0.26666666666666666,2.0,3,1,False,2,0.0,,2
MIS,easy,23,6,7,0.25,2.3333333333333335,5,1,False,2,0.2625,,4
MIS,easy,24,4,4,0.26666666666666666,2.0,3,1,False,2,0.0,,2
MIS,easy,25,7,8,0.2222222222222222,2.2857142857142856,6,1,False,2,0.22962962962962966,,5
MIS,easy,26,5,5,0.23809523809523808,2.0,4,1,False,2,0.0,,3
MIS,easy,27,4,4,0.26666666666666666,2.0,3,1,False,2,0.0,,2
MIS,easy,28,6,12,0.42857142857142855,4.0,5,1,False,2,0.6166666666666667,,4
MIS,easy,29,3,7,0.15555555555555556,4.666666666666667,6,0,False,3,0.0,,6
MIS,easy,30,5,5,0.23809523809523808,2.0,4,1,False,2,0.0,,3
MIS,easy,31,4,4,0.26666666666666666,2.0,3,1,False,2,0.0,,2
MIS,easy,32,4,4,0.26666666666666666,2.0,3,1,False,2,0.0,,2
MIS,easy,33,5,5,0.23809523809523808,2.0,4,1,False,2,0.0,,3
